id,topic,question_text,image_filename,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Separation Methods,Which of the following mixtures can be separated by filtration?,,a mixture of oil and water,a mixture of ethanol and water,a mixture of silver chloride and water,a mixture of sodium chloride and water,C,Filtration is used to separate an insoluble solid from a liquid. Silver chloride (AgCl) is insoluble in water.
2,Environmental Chem,Which of the following gases can cause acid rain?,,CH4(g),CO(g),N2(g),SO2(g),D,"Sulphur dioxide (SO2) dissolves in rain water to form sulphurous acid, causing acid rain."
3,General Chem,Solid W dissolves in water to form an alkaline solution. What is W?,,calcium oxide,calcium chloride,copper(II) oxide,copper(II) chloride,A,"Calcium oxide (CaO) is a basic oxide that reacts with water to form calcium hydroxide, which is alkaline."
4,Stoichiometry,The table shows molar masses of four fertilisers. Which has the highest percentage by mass of nitrogen? (N=14.0),,(NH2)2CO,NH4NO3,NaNO3,(NH4)2SO4,A,Calculate %N: Urea (NH2)2CO = 28/60 (46.7%); NH4NO3 = 28/80 (35%); NaNO3 = 14/85 (16.5%); (NH4)2SO4 = 28/132 (21.2%).
5,Redox,Consider the experimental set-up with KMnO4 and CuSO4. What is observed after the circuit is closed?,2023_q5_setup.png,Purple patch and blue patch migrate to P,Purple patch and blue patch migrate to Q,"Purple to P, Blue to Q","Purple to Q, Blue to P",C,MnO4- (Purple) is negative -> Anode (P). Cu2+ (Blue) is positive -> Cathode (Q).
6,Stoichiometry,"Metal X is less reactive than silver. 2.21 g of oxide of X is heated to leave 1.97 g solid. What is the formula of the oxide? (O=16, X=197)",,XO,XO2,X2O,X2O3,D,Mass of O = 0.24g (0.015 mol). Mass X = 1.97g (0.01 mol). Ratio X:O = 1:1.5 = 2:3. Formula X2O3.
7,Acids & Bases,Which statement concerning aqueous ammonia is INCORRECT?,,It is a weak alkali,Concentrated aqueous ammonia is corrosive,It can distinguish between Pb(NO3)2 and Al(NO3)3,"When added to CuSO4 until excess, a deep blue solution forms",C,Both Pb2+ and Al3+ form white precipitates with ammonia that are insoluble in excess ammonia. NaOH is needed to distinguish them.
8,Energetics,Which of the following is endothermic?,,dilution of concentrated sulphuric acid,thermal decomposition of limestone,reaction of quicklime with water,combustion of ethanol,B,"Thermal decomposition requires heat energy to break bonds (CaCO3 -> CaO + CO2), so it is endothermic."
9,Organic Chem,Which equation represents cracking of C16H34 to give propene?,,C16H34 -> C2H4 + C7H14 + C7H16,C16H34 -> C3H6 + C6H12 + C7H14,C16H34 -> C3H6 + C6H14 + C7H14,C16H34 -> C3H8 + C5H10 + C8H16,C,We need propene (C3H6). Equation C balances atoms: Carbon 3+6+7=16; Hydrogen 6+14+14=34.
10,Fossil Fuels,Petroleum separation: Fraction U (upper) vs Fraction L (lower). Which statement is correct?,,U has higher boiling range & viscosity than L,U has higher boiling range & lower viscosity than L,U has lower boiling range & higher viscosity than L,U has lower boiling range & lower viscosity than L,D,"Upper fractions have smaller molecules, lower boiling points, and are less viscous (runnier)."
